complaint_id;resident_id;category_id;title;description;submission_date
1;101;1;Major water leak on Main Street;A large pipe has burst, flooding the road.;2020/01/15
2;102;2;Potholes on High Street;Several deep potholes are causing traffic issues.;2020/01/22
3;103;5;Faulty streetlight near park;The streetlight at the park entrance is not working.;2020/02/10
4;104;3;New housing application;Application for subsidized housing for a family of four.;2020/02/18
5;105;4;Missed garbage collection;The bin was not collected on the scheduled day.;2020/03/05
6;106;1;Minor leak in backyard;A small pipe is leaking in my garden.;2020/03/12
7;107;6;Annual check-up appointment;Scheduled visit for general health check-up.;2020/03/20
8;108;2;Pothole on residential road;A single pothole needs to be filled on Park Avenue.;2020/04/08
9;109;1;Recurring water leak;The same leak from last month has returned.;2020/04/15
10;110;2;Pothole near school crossing;A dangerous pothole near a pedestrian crossing.;2020/05/03
11;111;7;Overgrown grass in community park;The grass and weeds in the local park need cutting.;2020/05/18
12;112;8;Neighbor playing loud music;Loud music after 10 PM. By-law violation.;2020/06/02
13;113;9;Damaged book at library;A book on the new arrivals shelf is torn.;2020/06/14
14;114;1;Leak in public toilet;A toilet in the community center is leaking water.;2020/07/09
15;115;5;Streetlight out on corner;The streetlight at the intersection of Oak and Elm is out.;2020/07/22
16;116;4;Illegal dumping of refuse;Someone dumped trash on the side of the road.;2020/08/11
17;117;2;Pothole on motorway exit;A large pothole on the motorway exit ramp.;2020/08/25
18;118;1;Low water pressure in building;Water pressure has been consistently low for a week.;2020/09/12
19;119;6;Vaccination appointment for child;Scheduled a measles vaccination for my daughter.;2020/09/28
20;120;10;Loud construction work after hours;Construction is continuing after the allowed time.;2020/10/15
21;121;2;Multiple potholes on main road;The entire street needs resurfacing due to potholes.;2020/10/29
22;122;3;Update on housing application;Following up on the status of my housing application.;2020/11/16
23;123;4;No recycling collection;Recycling bin was not collected this week.;2020/11/30
24;124;1;Water pipe burst near my home;Another water pipe burst in the neighborhood.;2020/12/08
25;125;7;Damaged playground equipment;The swing set in the park is broken.;2020/12/22
26;126;8;Illegal business operating from home;A neighbor is running a loud workshop from their garage.;2021/01/11
27;127;5;Streetlight flickering;The streetlight on my street flickers constantly.;2021/01/25
28;128;3;New housing application;Applying for a new unit for my parents.;2021/02/14
29;129;4;Bin missing after collection;My waste bin was not returned after collection.;2021/03/01
30;130;2;Small cracks in the road;Small cracks are appearing on the street surface.;2021/03/18
31;131;1;Leaky fire hydrant;A fire hydrant is leaking on the sidewalk.;2021/04/02
32;132;10;Loud dog barking;My neighbor's dog barks constantly, day and night.;2021/04/19
33;133;6;Flu shot appointment;Booking an appointment for a seasonal flu shot.;2021/05/06
34;134;2;Pothole causing near-accidents;The pothole is deep and in a dangerous spot.;2021/05/23
35;135;5;Several streetlights out;Three consecutive streetlights are not working.;2021/06/11
36;136;4;Missed special waste collection;Scheduled collection for furniture was missed.;2021/06/28
37;137;1;Burst pipe in apartment building;A pipe burst on the 3rd floor of our block.;2021/07/14
38;138;7;Park benches are broken;Several benches in the park are damaged and unsafe.;2021/07/31
39;139;3;Inquiry about housing waiting list;Checking my position on the housing waiting list.;2021/08/16
40;140;1;Drainage pipe overflowing;The drainage pipe outside my home is blocked and overflowing.;2021/09/03
41;141;2;Pothole on busy intersection;A new pothole has appeared at a very busy intersection.;2021/09/20
42;142;4;Illegal dumping in alleyway;Someone dumped construction rubble in the alleyway.;2021/10/08
43;143;5;Streetlight out on main road;The streetlight in front of the grocery store is broken.;2021/10/25
44;144;6;General medical check-up;Booking an appointment for a general check-up.;2021/11/12
45;145;1;Low water pressure in my ward;The entire ward seems to have low water pressure.;2021/11/29
46;146;2;Potholes on side streets;Several potholes on the smaller residential streets.;2021/12/15
47;147;7;Vandalism at the park;Graffiti and vandalism reported on playground equipment.;2022/01/08
48;148;8;Neighbor's noisy parties;A neighbor is hosting loud parties every weekend.;2022/01/24
49;149;3;Change of details for housing application;Need to update my contact information on the application.;2022/02/11
50;150;1;Another water leak;A small, but consistent water leak on the sidewalk.;2022/02/27
51;101;2;Road surface deteriorating;The road surface is cracking and needs attention.;2022/03/15
52;102;3;Housing maintenance request;Need repairs to my subsidized housing unit.;2022/04/01
53;103;4;Recycling bin damaged;My recycling bin has a large crack and needs replacement.;2022/04/18
54;104;5;Street lamp not working;The lamp post outside my house stopped working.;2022/05/05
55;105;6;Dental appointment needed;Need to schedule a routine dental check-up.;2022/05/22
56;106;7;Tree branch blocking path;A large branch fell and is blocking the walking path.;2022/06/08
57;107;8;Parking violation;Someone is parking in a no-parking zone daily.;2022/06/25
58;108;9;Library computer not working;One of the public computers at the library is broken.;2022/07/12
59;109;10;Late night disturbances;Neighbors are having loud arguments regularly at night.;2022/07/29
60;110;1;Water meter reading issue;My water meter seems to be giving incorrect readings.;2022/08/15
61;111;2;Dangerous pothole;A very deep pothole appeared overnight on the main road.;2022/09/01
62;112;3;Housing application update;Submitting additional documents for housing application.;2022/09/18
63;113;4;Garden refuse collection;Need special collection for large amount of garden waste.;2022/10/05
64;114;5;Multiple streetlights out;Half the streetlights on my street are not working.;2022/10/22
65;115;6;Child vaccination;Need to book measles vaccination for my son.;2022/11/08
66;116;7;Park equipment vandalized;Playground equipment has been damaged by vandals.;2022/11/25
67;117;8;Business operating without license;Neighbor running unlicensed food business from home.;2022/12/12
68;118;9;Library book overdue;Cannot return book due to damaged cover, need assistance.;2022/12/29
69;119;10;Construction noise complaint;Building work starting too early in the morning.;2023/01/15
70;120;1;Burst water main;Major water pipe burst causing street flooding.;2023/02/01
71;121;2;Road needs resurfacing;Entire street surface is deteriorating rapidly.;2023/02/18
72;122;3;Emergency housing request;Family evicted, need emergency accommodation.;2023/03/07
73;123;4;Bin collection missed again;Third consecutive week without garbage collection.;2023/03/24
74;124;5;Streetlight knocked down;Car accident knocked down the streetlight pole.;2023/04/10
75;125;6;Eye test appointment;Need to schedule an eye examination.;2023/04/27
76;126;7;Park gates broken;The main entrance gates to the park are damaged.;2023/05/14
77;127;8;Noise from commercial vehicle;Truck idling outside residential area all night.;2023/05/31
78;128;9;Library heating not working;The library is very cold, heating system appears broken.;2023/06/17
79;129;10;Dog attack incident;Loose dog attacked pedestrian, owner not taking responsibility.;2023/07/04
80;130;1;Water quality concern;Water coming out of tap has strange color and smell.;2023/07/21
81;131;2;Intersection needs stop sign;Dangerous intersection with no traffic control.;2023/08/07
82;132;3;Housing transfer request;Need to transfer to different housing unit.;2023/08/24
83;133;4;Hazardous waste disposal;Need proper disposal method for old paint cans.;2023/09/10
84;134;5;Solar streetlight malfunctioning;New solar streetlight not charging properly.;2023/09/27
85;135;6;Physiotherapy referral;Need referral for physiotherapy treatment.;2023/10/14
86;136;7;Playground safety concern;Playground equipment has sharp edges, safety hazard.;2023/10/31
87;137;8;Illegal advertising;Unauthorized posters being put up on public property.;2023/11/17
88;138;9;Library Wi-Fi down;Internet connection at library not working.;2023/12/04
89;139;10;Loud music from bar;Local bar playing music too loud, disturbing residents.;2023/12/21
90;140;1;Sewer backup;Sewage backing up into my yard from blocked drain.;2024/01/07
91;141;2;Speed bump needed;Cars driving too fast through residential area.;2024/01/24
92;142;3;Rental assistance application;Applying for rental assistance program.;2024/02/10
93;143;4;Electronic waste collection;Need collection service for old electronics.;2024/02/27
94;144;5;Streetlight timing wrong;Streetlights turning on during daylight hours.;2024/03/15
95;145;6;Mental health support;Need referral for mental health services.;2024/04/01
96;146;7;Soccer field maintenance;The community soccer field needs grass cutting and line marking.;2024/04/18
97;147;8;Unlicensed street vendor;Vendor operating without proper permits.;2024/05/05
98;148;9;Library book request;Requesting library to purchase specific educational books.;2024/05/22
99;149;10;Fireworks complaint;Neighbors setting off fireworks at inappropriate times.;2024/06/08
100;150;1;Water pressure drop;Sudden drop in water pressure in entire building.;2024/06/25
101;101;2;Manhole cover missing;Dangerous open manhole without cover on busy street.;2024/07/12
102;102;3;Housing inspection request;Need inspection of housing unit for repairs.;2024/07/29
103;103;4;Composting program inquiry;Want to join community composting program.;2024/08/15
104;104;5;LED streetlight request;Request to upgrade to LED streetlights for better efficiency.;2024/09/01
105;105;6;Blood pressure check;Need regular monitoring appointment.;2024/09/18
106;106;7;Park lighting inadequate;Park is too dark at night, safety concern.;2024/10/05
107;107;8;Building without permit;Neighbor building extension without proper permits.;2024/10/22
108;108;9;Library study room booking;Want to reserve study room for exam preparation.;2024/11/08
109;109;10;Domestic disturbance;Frequent loud arguments from neighboring household.;2024/11/25
110;110;1;Frozen pipes;Water pipes frozen due to cold weather.;2024/12/12
111;111;2;Crosswalk needs repainting;Pedestrian crossing markings are faded and dangerous.;2024/12/29
112;112;3;Social housing application;Application for social housing program.;2025/01/15
113;113;4;Christmas tree disposal;Need special collection for Christmas trees after holidays.;2025/02/01
114;114;5;Festive lighting request;Request for festive street lighting installation.;2025/02/18
115;115;6;Holiday clinic hours;Inquiry about clinic operating hours during holidays.;2025/03/07
116;116;7;Park decoration for holidays;Request for holiday decorations in community park.;2025/03/24
117;117;8;Fireworks safety violation;Illegal fireworks being sold in residential area.;2025/04/10
118;118;9;Library holiday closure;Inquiry about library schedule during holiday period.;2025/04/27
119;119;10;New Year party noise;Neighbors planning very loud New Year celebration.;2025/05/14
120;120;1;Heating system leak;Central heating pipe leaking in apartment building.;2025/05/31
121;121;2;Ice damage to road;Road surface damaged by ice, creating hazardous conditions.;2025/06/17
122;122;3;Year-end housing report;Request for annual report on housing application status.;2025/07/04
123;123;4;Holiday waste collection;Extra waste collection needed after holiday period.;2025/07/21
124;124;5;New Year streetlight celebration;Request for special lighting for New Year celebration.;2025/08/07
125;125;6;Post-holiday health check;Scheduling health check-up after holiday period.;2025/08/24
126;126;7;Park cleanup after celebrations;Park needs cleaning after New Year celebrations.;2025/09/10
127;127;8;Unauthorized New Year vendors;Unlicensed vendors operating during celebrations.;2025/09/27
128;128;9;Library reopening inquiry;When will library reopen after holiday closure.;2025/10/14
129;129;10;Post-celebration noise;Neighbors still partying loudly after New Year.;2025/10/31
130;130;1;New water connection;Need new water connection for property extension.;2025/11/17
131;131;2;Pothole from ice damage;Large pothole formed due to ice expansion.;2025/12/04
132;132;3;Housing maintenance schedule;Request annual maintenance schedule for housing unit.;2025/12/21
133;133;4;Recycling education program;Request information about recycling guidelines.;2020/01/28
134;134;5;Energy-efficient lighting;Request for energy-efficient street lighting upgrade.;2020/02/14
135;135;6;Diabetes monitoring;Regular check-up for diabetes management.;2020/03/03
136;136;7;Exercise equipment installation;Request for outdoor exercise equipment in park.;2020/03/20
137;137;8;Zoning violation inquiry;Question about neighbor's property use compliance.;2020/04/06
138;138;9;Digital library services;Inquiry about online library services availability.;2020/04/23
139;139;10;Meditation class noise;Noise complaint about loud meditation classes.;2020/05/10
140;140;1;Old pipe replacement;Request replacement of old corroded pipes.;2020/05/27
141;141;2;Traffic calming measures;Request speed bumps or other traffic calming.;2020/06/13
142;142;3;Affordable housing inquiry;Information about affordable housing programs.;2020/06/30
143;143;4;Bulk waste collection;Need collection for large furniture items.;2020/07/17
144;144;5;Smart lighting proposal;Proposal for smart streetlighting system.;2020/08/03
145;145;6;Specialist referral;Need referral to specialist for ongoing condition.;2020/08/20
146;146;7;Community garden proposal;Proposal to establish community garden in park.;2020/09/06
147;147;8;Home business compliance;Question about running business from home legally.;2020/09/23
148;148;9;Community program at library;Proposal for new community education program.;2020/10/10
149;149;10;Amplified sound permit;Neighbor using amplified sound without permit.;2020/10/27
150;150;1;Water conservation inquiry;Information about water conservation programs.;2020/11/13
151;101;2;Bridge inspection needed;Local bridge showing signs of structural wear.;2020/11/30
152;102;3;Housing accessibility modification;Need wheelchair ramp installation.;2020/12/17
153;103;4;Green waste collection;Regular collection for garden waste needed.;2021/01/03
154;104;5;Solar panel interference;Solar panels affecting streetlight sensors.;2021/01/20
155;105;6;Allergy consultation;Need consultation for seasonal allergies.;2021/02/06
156;106;7;Park accessibility improvement;Park needs wheelchair accessible pathways.;2021/02/23
157;107;8;Food truck permit violation;Food truck operating without proper location permit.;2021/03/12
158;108;9;Book club venue;Request to use library space for book club meetings.;2021/03/29
159;109;10;Early morning delivery noise;Delivery trucks arriving too early making noise.;2021/04/15
160;110;1;Water quality testing;Request for water quality testing in area.;2021/05/02
161;111;2;Bicycle lane proposal;Request for dedicated bicycle lane on main road.;2021/05/19
162;112;3;Housing transfer appeal;Appeal decision on housing transfer application.;2021/06/05
163;113;4;Hazardous material disposal;Proper disposal needed for household chemicals.;2021/06/22
164;114;5;Motion sensor lights;Request for motion-activated streetlights for safety.;2021/07/09
165;115;6;Heart health screening;Preventive screening for heart conditions.;2021/07/26
166;116;7;Dog park proposal;Proposal for dedicated off-leash dog area in park.;2021/08/12
167;117;8;Sidewalk vendor compliance;Street vendor not following designated area rules.;2021/08/29
168;118;9;Computer skills class;Request for basic computer skills classes at library.;2021/09/15
169;119;10;Valentine's Day noise;Loud celebrations disturbing neighborhood.;2021/10/02
170;120;1;Burst pipe emergency;Emergency water pipe burst requiring immediate attention.;2021/10/19
171;121;2;School zone safety;Request for additional safety measures in school zone.;2021/11/05
172;122;3;Senior housing application;Application for senior citizen housing program.;2021/11/22
173;123;4;Organic waste program;Inquiry about organic waste separation program.;2021/12/09
174;124;5;Historic district lighting;Appropriate period lighting for historic district.;2021/12/26
175;125;6;Women's health services;Access to women's health screening services.;2022/01/12
176;126;7;Memorial garden proposal;Proposal for memorial garden section in park.;2022/01/29
177;127;8;Air quality concern;Concern about emissions from nearby business.;2022/02/15
178;128;9;Literacy program;Adult literacy classes at library.;2022/03/04
179;129;10;Construction dust complaint;Excessive dust from construction affecting neighbors.;2022/03/21
180;130;1;Irrigation system repair;Public garden irrigation system not working.;2022/04/07
181;131;2;Parking meter malfunction;Several parking meters not working properly.;2022/04/24
182;132;3;Housing waiting list update;Update on position in social housing waiting list.;2022/05/11
183;133;4;Electronic recycling event;Request for community electronic recycling event.;2022/05/28
184;134;5;Decorative lighting proposal;Proposal for decorative lighting in business district.;2022/06/14
185;135;6;Men's health screening;Preventive health screening services for men.;2022/07/01
186;136;7;Sports facility upgrade;Upgrade needed for community sports facilities.;2022/07/18
187;137;8;Unauthorized construction;Construction work without proper permits or hours.;2022/08/04
188;138;9;Children's reading program;Proposal for enhanced children's reading program.;2022/08/21
189;139;10;Loud exercise classes;Early morning exercise classes too loud for neighbors.;2022/09/07
190;140;1;Water main upgrade;Old water main needs replacement for better pressure.;2022/09/24
191;141;2;Roundabout proposal;Proposal to replace intersection with roundabout.;2022/10/11
192;142;3;Disability housing accommodation;Request for disability-accessible housing unit.;2022/10/28
193;143;4;Textile recycling program;Request for textile and clothing recycling program.;2022/11/14
194;144;5;Security lighting;Additional security lighting needed in problem areas.;2022/12/01
195;145;6;Nutrition counseling;Access to nutrition counseling services.;2022/12/18
196;146;7;Community event space;Request for covered pavilion for community events.;2023/01/04
197;147;8;Property maintenance violation;Neighbor not maintaining property to code standards.;2023/01/21
198;148;9;Maker space at library;Proposal for maker space with tools and equipment.;2023/02/07
199;149;10;Leaf blower noise;Commercial leaf blowing during quiet hours.;2023/02/24
200;150;1;Fire hydrant maintenance;Fire hydrant needs maintenance for proper operation.;2023/03/13
201;101;2;Pedestrian safety crossing;Need safer crossing at busy intersection.;2023/03/30
202;102;3;Emergency housing extension;Extension needed for emergency housing assistance.;2023/04/16
203;103;4;Mattress disposal;Large mattress disposal service needed.;2023/05/03
204;104;5;Festival lighting request;Special lighting for upcoming community festival.;2023/05/20
205;105;6;Chronic pain management;Referral for chronic pain management services.;2023/06/06
206;106;7;Amphitheater construction;Proposal for outdoor amphitheater in park.;2023/06/23
207;107;8;Garage sale permit;Information about permits needed for garage sales.;2023/07/10
208;108;9;Foreign language books;Request for foreign language book collection.;2023/07/27
209;109;10;Rooster noise complaint;Neighbor's rooster crowing early disrupting sleep.;2023/08/13
210;110;1;Swimming pool pipe leak;Community pool has pipe leak affecting water level.;2023/08/30
211;111;2;Bike path maintenance;Community bike path needs surface repairs.;2023/09/16
212;112;3;Rent arrears assistance;Assistance needed with rent payment difficulties.;2023/10/03
213;113;4;Paint disposal event;Community event needed for household paint disposal.;2023/10/20
214;114;5;Earth Hour participation;Participation in Earth Hour streetlight dimming.;2023/11/06
215;115;6;Travel health consultation;Health consultation for international travel.;2023/11/23
216;116;7;Butterfly garden project;Proposal for butterfly garden in park section.;2023/12/10
217;117;8;Home daycare compliance;Neighbor running daycare without proper licensing.;2023/12/27
218;118;9;Seed library program;Proposal for seed sharing library program.;2024/01/13
219;119;10;Karaoke noise complaint;Neighbor's karaoke sessions too loud for area.;2024/01/30
220;120;1;Pool filtration issue;Public pool filtration system not working properly.;2024/02/16
221;121;2;School crossing guard;Request for crossing guard at elementary school.;2024/03/04
222;122;3;Family housing application;Application for larger family housing unit.;2024/03/21
223;123;4;Appliance recycling;Old appliance pickup and recycling service.;2024/04/07
224;124;5;Energy audit streetlights;Audit of streetlight energy consumption patterns.;2024/04/24
225;125;6;Sports medicine referral;Referral needed for sports-related injury treatment.;2024/05/11
226;126;7;Picnic shelter repair;Park picnic shelter roof needs repair work.;2024/05/28
227;127;8;Vehicle repair business;Neighbor repairing cars in driveway violating zoning.;2024/06/14
228;128;9;Senior citizen programs;Programs and services for senior citizens at library.;2024/07/01
229;129;10;Motorcycle noise;Modified motorcycle exhaust creating excessive noise.;2024/07/18
230;130;1;Sprinkler system upgrade;Public space sprinkler system needs modernization.;2024/08/04
231;131;2;Traffic light malfunction;Traffic light stuck on red causing delays.;2024/08/21
232;132;3;Housing condition complaint;Poor living conditions in subsidized housing unit.;2024/09/07
233;133;4;Bulk item pickup;Large furniture items need special collection.;2024/09/24
234;134;5;Streetlight vandalism;Multiple streetlights damaged by vandalism.;2024/10/11
235;135;6;Vaccination scheduling;Scheduling routine vaccinations for family.;2024/10/28
236;136;7;Playground resurfacing;Playground surface needs replacement for safety.;2024/11/14
237;137;8;Noise ordinance violation;Business operating beyond permitted noise levels.;2024/12/01
238;138;9;Book donation processing;Large donation of books needs processing.;2024/12/18
239;139;10;Party noise complaint;Large party continuing past noise ordinance hours.;2025/01/04
240;140;1;Water meter error;Water meter giving incorrect high readings.;2025/01/21
241;141;2;Guardrail damage;Highway guardrail damaged and needs replacement.;2025/02/07
242;142;3;Housing inspection scheduling;Scheduling annual housing unit inspection.;2025/02/24
243;143;4;Yard waste collection;Seasonal yard waste collection scheduling.;2025/03/13
244;144;5;LED conversion project;Converting remaining streetlights to LED technology.;2025/03/30
245;145;6;Prenatal care access;Access to prenatal healthcare services.;2025/04/16
246;146;7;Tree planting initiative;Community tree planting project in park.;2025/05/03
247;147;8;Commercial vehicle parking;Commercial vehicle illegally parked in residential zone.;2025/05/20
248;148;9;Digital literacy classes;Computer and internet skills classes for seniors.;2025/06/06
249;149;10;Early morning lawn care;Lawn care service starting too early disturbing neighbors.;2025/06/23
250;150;1;Pool chemical balance;Public pool chemical levels need adjustment.;2025/07/10
251;101;2;Speed limit enforcement;Need better speed limit enforcement in school zone.;2025/07/27
